fd,seed,unit,n_unit,t_knee,t_cp,t_knee_frac,t_cp_frac
FD002,1,236,209,83.0,29,0.39712918660287083,0.13875598086124402
FD002,1,238,126,,31,,0.24603174603174602
FD002,1,256,133,7.0,33,0.05263157894736842,0.24812030075187969
FD002,2,5,124,,13,,0.10483870967741936
FD002,2,8,121,,21,,0.17355371900826447
FD002,2,16,124,,18,,0.14516129032258066
FD002,2,23,181,55.0,76,0.30386740331491713,0.4198895027624309
FD002,2,32,251,125.0,20,0.49800796812749004,0.0796812749003984
FD002,2,38,147,21.0,38,0.14285714285714285,0.2585034013605442
FD002,2,44,175,49.0,26,0.28,0.14857142857142858
FD002,2,48,209,83.0,42,0.39712918660287083,0.20095693779904306
FD002,2,64,252,126.0,24,0.5,0.09523809523809523
FD002,2,73,209,83.0,32,0.39712918660287083,0.15311004784688995
FD002,2,76,214,88.0,21,0.411214953271028,0.09813084112149532
FD002,2,96,178,52.0,62,0.29213483146067415,0.34831460674157305
FD002,2,103,250,124.0,18,0.496,0.072
FD002,2,105,273,147.0,12,0.5384615384615384,0.04395604395604396
FD002,2,117,147,21.0,13,0.14285714285714285,0.08843537414965986
FD002,2,125,138,12.0,33,0.08695652173913043,0.2391304347826087
FD002,2,149,259,133.0,15,0.5135135135135135,0.05791505791505792
FD002,2,163,173,47.0,21,0.27167630057803466,0.12138728323699421
FD002,2,168,187,61.0,27,0.32620320855614976,0.1443850267379679
FD002,2,169,155,29.0,61,0.1870967741935484,0.3935483870967742
FD002,2,178,118,,11,,0.09322033898305085
FD002,2,196,209,83.0,21,0.39712918660287083,0.10047846889952153
FD002,2,211,184,58.0,53,0.31521739130434784,0.28804347826086957
FD002,2,214,116,,24,,0.20689655172413793
FD002,2,219,126,,125,,0.9920634920634921
FD002,2,254,230,104.0,11,0.45217391304347826,0.04782608695652174
FD002,3,22,162,36.0,63,0.2222222222222222,0.3888888888888889
FD002,3,27,146,20.0,40,0.136986301369863,0.273972602739726
FD002,3,67,115,,14,,0.12173913043478261
FD002,3,82,170,44.0,25,0.25882352941176473,0.14705882352941177
FD002,3,94,276,150.0,17,0.5434782608695652,0.06159420289855073
FD002,3,108,126,,80,,0.6349206349206349
FD002,3,120,99,,98,,0.98989898989899
FD002,3,132,153,27.0,46,0.17647058823529413,0.3006535947712418
FD002,3,139,164,38.0,14,0.23170731707317074,0.08536585365853659
FD002,3,143,136,10.0,57,0.07352941176470588,0.41911764705882354
FD002,3,148,249,123.0,38,0.4939759036144578,0.15261044176706828
FD002,3,149,259,133.0,105,0.5135135135135135,0.40540540540540543
FD002,3,150,192,66.0,87,0.34375,0.453125
FD002,3,151,147,21.0,72,0.14285714285714285,0.4897959183673469
FD002,3,153,262,136.0,30,0.5190839694656488,0.11450381679389313
FD002,3,167,202,76.0,80,0.37623762376237624,0.39603960396039606
FD002,3,168,187,61.0,16,0.32620320855614976,0.0855614973262032
FD002,3,170,149,23.0,19,0.15436241610738255,0.12751677852348994
FD002,3,173,121,,11,,0.09090909090909091
FD002,3,203,239,113.0,18,0.47280334728033474,0.07531380753138076
FD002,3,219,126,,39,,0.30952380952380953
FD002,3,225,126,,38,,0.30158730158730157
FD002,3,250,154,28.0,45,0.18181818181818182,0.2922077922077922
FD002,3,254,230,104.0,84,0.45217391304347826,0.3652173913043478
FD002,3,257,279,153.0,42,0.5483870967741935,0.15053763440860216
FD002,3,259,175,49.0,15,0.28,0.08571428571428572
FD002,4,1,119,,78,,0.6554621848739496
FD002,4,22,162,36.0,127,0.2222222222222222,0.7839506172839507
FD002,4,39,184,58.0,149,0.31521739130434784,0.8097826086956522
FD002,4,45,121,,82,,0.6776859504132231
FD002,4,51,263,137.0,40,0.5209125475285171,0.1520912547528517
FD002,4,53,118,,76,,0.6440677966101694
FD002,4,56,133,7.0,99,0.05263157894736842,0.7443609022556391
FD002,4,58,132,6.0,98,0.045454545454545456,0.7424242424242424
FD002,4,59,164,38.0,130,0.23170731707317074,0.7926829268292683
FD002,4,88,335,209.0,300,0.6238805970149254,0.8955223880597015
FD002,4,95,168,42.0,134,0.25,0.7976190476190477
FD002,4,104,198,72.0,164,0.36363636363636365,0.8282828282828283
FD002,4,105,273,147.0,238,0.5384615384615384,0.8717948717948718
FD002,4,110,191,65.0,157,0.3403141361256545,0.8219895287958116
FD002,4,123,196,70.0,161,0.35714285714285715,0.8214285714285714
FD002,4,127,226,100.0,191,0.4424778761061947,0.8451327433628318
FD002,4,132,153,27.0,119,0.17647058823529413,0.7777777777777778
FD002,4,138,170,44.0,135,0.25882352941176473,0.7941176470588235
FD002,4,165,135,9.0,101,0.06666666666666667,0.7481481481481481
FD002,4,175,172,46.0,138,0.26744186046511625,0.8023255813953488
FD002,4,179,151,25.0,116,0.16556291390728478,0.7682119205298014
FD002,4,184,141,15.0,106,0.10638297872340426,0.75177304964539
FD002,4,198,175,49.0,140,0.28,0.8
FD002,4,201,161,35.0,126,0.21739130434782608,0.782608695652174
FD002,4,235,153,27.0,117,0.17647058823529413,0.7647058823529411
FD002,4,248,204,78.0,170,0.38235294117647056,0.8333333333333334
FD003,0,10,451,325.0,208,0.720620842572062,0.4611973392461197
FD003,0,22,162,36.0,27,0.2222222222222222,0.16666666666666666
FD003,0,37,294,168.0,107,0.5714285714285714,0.36394557823129253
FD003,0,45,175,49.0,51,0.28,0.2914285714285714
FD003,0,48,144,18.0,49,0.125,0.3402777777777778
FD003,0,65,204,78.0,35,0.38235294117647056,0.1715686274509804
FD003,0,68,171,45.0,24,0.2631578947368421,0.14035087719298245
FD003,0,84,196,70.0,18,0.35714285714285715,0.09183673469387756
FD003,0,88,292,166.0,22,0.5684931506849316,0.07534246575342465
FD003,0,97,245,119.0,38,0.4857142857142857,0.15510204081632653
FD003,1,2,223,97.0,91,0.4349775784753363,0.4080717488789238
FD003,1,6,248,122.0,16,0.49193548387096775,0.06451612903225806
FD003,1,10,451,325.0,282,0.720620842572062,0.6252771618625277
FD003,1,13,155,29.0,22,0.1870967741935484,0.14193548387096774
FD003,1,17,282,156.0,13,0.5531914893617021,0.04609929078014184
FD003,1,38,171,45.0,18,0.2631578947368421,0.10526315789473684
FD003,1,65,204,78.0,65,0.38235294117647056,0.31862745098039214
FD003,1,73,185,59.0,63,0.31891891891891894,0.34054054054054056
FD003,1,76,123,,21,,0.17073170731707318
FD003,1,80,117,,11,,0.09401709401709402
FD003,2,8,237,111.0,16,0.46835443037974683,0.06751054852320675
FD003,2,16,314,188.0,138,0.5987261146496815,0.4394904458598726
FD003,2,23,166,40.0,35,0.24096385542168675,0.21084337349397592
FD003,2,35,201,75.0,57,0.373134328358209,0.2835820895522388
FD003,2,41,265,139.0,118,0.5245283018867924,0.44528301886792454
FD003,2,44,150,24.0,18,0.16,0.12
FD003,2,50,131,5.0,11,0.03816793893129771,0.08396946564885496
FD003,2,73,185,59.0,64,0.31891891891891894,0.34594594594594597
FD003,2,76,123,,24,,0.1951219512195122
FD003,2,83,151,25.0,22,0.16556291390728478,0.1456953642384106
FD003,3,1,229,103.0,11,0.4497816593886463,0.048034934497816595
FD003,3,4,242,116.0,21,0.4793388429752066,0.08677685950413223
FD003,3,11,167,41.0,45,0.24550898203592814,0.2694610778443114
FD003,3,20,308,182.0,36,0.5909090909090909,0.11688311688311688
FD003,3,22,162,36.0,11,0.2222222222222222,0.06790123456790123
FD003,3,25,163,37.0,20,0.22699386503067484,0.12269938650306748
FD003,3,42,163,37.0,40,0.22699386503067484,0.24539877300613497
FD003,3,57,185,59.0,12,0.31891891891891894,0.06486486486486487
FD003,3,73,185,59.0,30,0.31891891891891894,0.16216216216216217
FD003,3,75,229,103.0,89,0.4497816593886463,0.388646288209607
FD003,4,2,223,97.0,103,0.4349775784753363,0.4618834080717489
FD003,4,10,451,325.0,282,0.720620842572062,0.6252771618625277
FD003,4,47,239,113.0,19,0.47280334728033474,0.0794979079497908
FD003,4,51,160,34.0,23,0.2125,0.14375
FD003,4,56,165,39.0,19,0.23636363636363636,0.11515151515151516
FD003,4,59,269,143.0,136,0.5315985130111525,0.5055762081784386
FD003,4,70,142,16.0,14,0.11267605633802817,0.09859154929577464
FD003,4,73,185,59.0,62,0.31891891891891894,0.33513513513513515
FD003,4,88,292,166.0,77,0.5684931506849316,0.2636986301369863
FD003,4,99,115,,67,,0.5826086956521739
FD004,0,10,324,198.0,135,0.6111111111111112,0.4166666666666667
FD004,0,22,181,55.0,11,0.30386740331491713,0.06077348066298342
FD004,0,37,358,232.0,24,0.6480446927374302,0.0670391061452514
FD004,0,40,176,50.0,35,0.2840909090909091,0.19886363636363635
FD004,0,48,292,166.0,180,0.5684931506849316,0.6164383561643836
FD004,0,59,147,21.0,146,0.14285714285714285,0.9931972789115646
FD004,0,68,133,7.0,12,0.05263157894736842,0.09022556390977443
FD004,0,71,282,156.0,80,0.5531914893617021,0.28368794326241137
FD004,0,82,167,41.0,11,0.24550898203592814,0.0658682634730539
FD004,0,88,358,232.0,194,0.6480446927374302,0.5418994413407822
FD004,0,89,138,12.0,58,0.08695652173913043,0.42028985507246375
FD004,0,104,173,47.0,44,0.27167630057803466,0.2543352601156069
FD004,0,118,513,387.0,12,0.7543859649122807,0.023391812865497075
FD004,0,141,169,43.0,168,0.25443786982248523,0.9940828402366864
FD004,0,166,239,113.0,238,0.47280334728033474,0.99581589958159
FD004,0,173,427,301.0,81,0.7049180327868853,0.18969555035128804
FD004,0,175,126,,24,,0.19047619047619047
FD004,0,193,167,41.0,13,0.24550898203592814,0.07784431137724551
FD004,0,194,115,,12,,0.10434782608695652
FD004,0,196,144,18.0,25,0.125,0.1736111111111111
FD004,0,212,199,73.0,13,0.36683417085427134,0.06532663316582915
FD004,0,217,170,44.0,11,0.25882352941176473,0.06470588235294118
FD004,0,231,164,38.0,58,0.23170731707317074,0.35365853658536583
FD004,0,235,169,43.0,19,0.25443786982248523,0.11242603550295859
FD004,0,238,157,31.0,35,0.19745222929936307,0.2229299363057325
FD004,1,21,197,71.0,97,0.3604060913705584,0.49238578680203043
FD004,1,26,267,141.0,18,0.5280898876404494,0.06741573033707865
FD004,1,38,147,21.0,14,0.14285714285714285,0.09523809523809523
FD004,1,51,255,129.0,65,0.5058823529411764,0.2549019607843137
FD004,1,72,278,152.0,13,0.5467625899280576,0.046762589928057555
FD004,1,73,151,25.0,48,0.16556291390728478,0.31788079470198677
FD004,1,80,275,149.0,14,0.5418181818181819,0.05090909090909091
FD004,1,102,164,38.0,23,0.23170731707317074,0.1402439024390244
FD004,1,130,136,10.0,24,0.07352941176470588,0.17647058823529413
FD004,1,134,217,91.0,15,0.41935483870967744,0.06912442396313365
FD004,1,135,119,,14,,0.11764705882352941
FD004,1,138,148,22.0,17,0.14864864864864866,0.11486486486486487
FD004,1,140,268,142.0,15,0.5298507462686567,0.055970149253731345
FD004,1,141,169,43.0,93,0.25443786982248523,0.5502958579881657
FD004,1,143,154,28.0,21,0.18181818181818182,0.13636363636363635
FD004,1,145,198,72.0,17,0.36363636363636365,0.08585858585858586
FD004,1,147,204,78.0,44,0.38235294117647056,0.21568627450980393
FD004,1,157,268,142.0,149,0.5298507462686567,0.5559701492537313
FD004,1,158,369,243.0,12,0.6585365853658537,0.032520325203252036
FD004,1,179,405,279.0,32,0.6888888888888889,0.07901234567901234
FD004,1,193,167,41.0,17,0.24550898203592814,0.10179640718562874
FD004,1,204,181,55.0,35,0.30386740331491713,0.19337016574585636
FD004,1,205,212,86.0,51,0.4056603773584906,0.24056603773584906
FD004,1,213,167,41.0,12,0.24550898203592814,0.0718562874251497
FD004,1,236,195,69.0,14,0.35384615384615387,0.07179487179487179
FD004,2,8,200,74.0,26,0.37,0.13
FD004,2,16,154,28.0,41,0.18181818181818182,0.2662337662337662
FD004,2,23,250,124.0,25,0.496,0.1
FD004,2,32,189,63.0,56,0.3333333333333333,0.2962962962962963
FD004,2,38,147,21.0,20,0.14285714285714285,0.1360544217687075
FD004,2,44,173,47.0,21,0.27167630057803466,0.12138728323699421
FD004,2,48,292,166.0,181,0.5684931506849316,0.6198630136986302
FD004,2,64,154,28.0,15,0.18181818181818182,0.09740259740259741
FD004,2,73,151,25.0,13,0.16556291390728478,0.08609271523178808
FD004,2,76,122,,78,,0.639344262295082
FD004,2,96,240,114.0,12,0.475,0.05
FD004,2,105,140,14.0,23,0.1,0.16428571428571428
FD004,2,117,312,186.0,13,0.5961538461538461,0.041666666666666664
FD004,2,125,209,83.0,18,0.39712918660287083,0.0861244019138756
FD004,2,149,231,105.0,68,0.45454545454545453,0.2943722943722944
FD004,2,163,255,129.0,118,0.5058823529411764,0.4627450980392157
FD004,2,168,166,40.0,71,0.24096385542168675,0.42771084337349397
FD004,2,169,197,71.0,64,0.3604060913705584,0.3248730964467005
FD004,2,178,140,14.0,100,0.1,0.7142857142857143
FD004,2,196,144,18.0,18,0.125,0.125
FD004,2,211,116,,80,,0.6896551724137931
FD004,2,214,98,,14,,0.14285714285714285
FD004,2,219,160,34.0,31,0.2125,0.19375
FD004,2,238,157,31.0,35,0.19745222929936307,0.2229299363057325
FD004,2,242,192,66.0,26,0.34375,0.13541666666666666
FD004,3,1,291,165.0,105,0.5670103092783505,0.36082474226804123
FD004,3,22,181,55.0,13,0.30386740331491713,0.0718232044198895
FD004,3,27,133,7.0,97,0.05263157894736842,0.7293233082706767
FD004,3,82,167,41.0,13,0.24550898203592814,0.07784431137724551
FD004,3,94,219,93.0,45,0.4246575342465753,0.2054794520547945
FD004,3,107,153,27.0,24,0.17647058823529413,0.1568627450980392
FD004,3,108,274,148.0,12,0.5401459854014599,0.043795620437956206
FD004,3,120,147,21.0,54,0.14285714285714285,0.3673469387755102
FD004,3,132,224,98.0,116,0.4375,0.5178571428571429
FD004,3,139,221,95.0,19,0.4298642533936652,0.08597285067873303
FD004,3,143,154,28.0,19,0.18181818181818182,0.12337662337662338
FD004,3,148,163,37.0,12,0.22699386503067484,0.0736196319018405
FD004,3,149,231,105.0,70,0.45454545454545453,0.30303030303030304
FD004,3,150,119,,25,,0.21008403361344538
FD004,3,151,321,195.0,150,0.6074766355140186,0.4672897196261682
FD004,3,153,138,12.0,12,0.08695652173913043,0.08695652173913043
FD004,3,167,233,107.0,75,0.4592274678111588,0.3218884120171674
FD004,3,168,166,40.0,73,0.24096385542168675,0.4397590361445783
FD004,3,170,131,5.0,44,0.03816793893129771,0.33587786259541985
FD004,3,173,427,301.0,179,0.7049180327868853,0.41920374707259955
FD004,3,185,229,103.0,24,0.4497816593886463,0.10480349344978165
FD004,3,201,348,222.0,144,0.6379310344827587,0.41379310344827586
FD004,3,203,294,168.0,29,0.5714285714285714,0.09863945578231292
FD004,3,219,160,34.0,34,0.2125,0.2125
FD004,3,225,388,262.0,252,0.6752577319587629,0.6494845360824743
FD004,4,39,172,46.0,66,0.26744186046511625,0.38372093023255816
FD004,4,45,147,21.0,21,0.14285714285714285,0.14285714285714285
FD004,4,51,255,129.0,57,0.5058823529411764,0.2235294117647059
FD004,4,53,274,148.0,28,0.5401459854014599,0.10218978102189781
FD004,4,56,317,191.0,34,0.6025236593059937,0.10725552050473186
FD004,4,58,251,125.0,28,0.49800796812749004,0.11155378486055777
FD004,4,59,147,21.0,110,0.14285714285714285,0.7482993197278912
FD004,4,88,358,232.0,243,0.6480446927374302,0.6787709497206704
FD004,4,95,209,83.0,111,0.39712918660287083,0.5311004784688995
FD004,4,104,173,47.0,44,0.27167630057803466,0.2543352601156069
FD004,4,105,140,14.0,66,0.1,0.4714285714285714
FD004,4,110,156,30.0,18,0.19230769230769232,0.11538461538461539
FD004,4,123,196,70.0,195,0.35714285714285715,0.9948979591836735
FD004,4,127,205,79.0,28,0.3853658536585366,0.13658536585365855
FD004,4,130,136,10.0,33,0.07352941176470588,0.2426470588235294
FD004,4,132,224,98.0,12,0.4375,0.05357142857142857
FD004,4,138,148,22.0,23,0.14864864864864866,0.1554054054054054
FD004,4,165,225,99.0,14,0.44,0.06222222222222222
FD004,4,175,126,,64,,0.5079365079365079
FD004,4,179,405,279.0,42,0.6888888888888889,0.1037037037037037
FD004,4,184,349,223.0,17,0.6389684813753582,0.04871060171919771
FD004,4,198,134,8.0,58,0.05970149253731343,0.43283582089552236
FD004,4,201,348,222.0,77,0.6379310344827587,0.22126436781609196
FD004,4,244,237,111.0,30,0.46835443037974683,0.12658227848101267
FD004,4,247,181,55.0,21,0.30386740331491713,0.11602209944751381
