fd,method,matched_early,matched_middle,matched_late,worst_stage,cusum_early,cusum_middle,cusum_late
FD001,MC-Dropout,0.9647625309163771,0.8824345940796441,0.8837122082134486,middle,0.9669290253905639,0.9225290425177303,0.8774732568274094
FD001,Split CP,0.9576043329889483,0.8782134659462595,0.8758069797195566,late,0.9580413888106195,0.926348092162572,0.864455340188893
FD001,Mondrian CP (online),0.8379119474232539,0.7696265678522938,0.8116781063903082,middle,0.8502661688498349,0.793601398932896,0.7967171578557176
FD001,Mondrian CP (split),0.9384153168768553,0.8477153348622747,0.8834338735926751,middle,0.9332095573272043,0.8835174598561715,0.8756263237741716
FD002,MC-Dropout,0.9587745667974005,0.8744492152440909,0.8639737800861725,late,0.9719171033188332,0.9211478075606181,0.8498447994146903
FD002,Split CP,0.9495948075592413,0.8567208956118902,0.8395460799687384,late,0.9679785920308649,0.9119922304340052,0.8211072884409256
FD002,Mondrian CP (online),0.7961520743878217,0.7998092668148206,0.8135500276960789,early,0.8304499258272396,0.807485730937228,0.7935673492322699
FD002,Mondrian CP (split),0.8594476890051139,0.8417708040366413,0.866522418005836,middle,0.8943883229486563,0.8444607755954914,0.8651906015453933
FD003,MC-Dropout,0.9908823529411764,0.9495090239399703,0.8464412915904551,late,0.9939229731132566,0.9799522002963299,0.8341907913966418
FD003,Split CP,0.9827005347593583,0.931877126141832,0.8210546212125833,late,0.9872563064465899,0.96900376218278,0.8104055491354357
FD003,Mondrian CP (online),0.8228689432131896,0.8368837922979688,0.7900402139653898,late,0.864013620021001,0.7640610416426119,0.7846845015260282
FD003,Mondrian CP (split),0.9390730731831111,0.8967661203530768,0.8452011802635477,late,0.9504827527717531,0.8872715037076983,0.8490476644681981
FD004,MC-Dropout,0.9915792339471562,0.9593301199903959,0.8695683663154827,late,0.9915144320806023,0.9767576856544862,0.8586271330981464
FD004,Split CP,0.985703037228963,0.9442681448071351,0.8342141177873973,late,0.9864470292142216,0.9687632873022061,0.8177711788828528
FD004,Mondrian CP (online),0.8295324273099356,0.8512808912594251,0.7967990481058821,late,0.8249448891301636,0.8119454640080785,0.7840369824191974
FD004,Mondrian CP (split),0.8490570242509922,0.8711998813600784,0.8454396443590898,late,0.8546619550544365,0.8412391288179635,0.8534473022647797
