fd,convention,method,stage,ecr_unbounded_as_covered,ecr_finite_only,unbounded_rate,n_inf,n_total
FD003,TrainPct,Mondrian CP (online),late,0.9558733002154416,0.9558733002154416,0.0,0,1824
FD003,TrainPct,Mondrian CP (split),early,0.871159837203116,0.871159837203116,0.0,0,10348
FD003,TrainPct,Mondrian CP (split),middle,0.9362888728797565,0.9362888728797565,0.0,0,2084
FD003,TrainPct,Mondrian CP (split),late,0.925767455796379,0.925767455796379,0.0,0,1824
FD003,Matched,Mondrian CP (online),early,0.8228689432131896,0.8228689432131896,0.0,0,1947
FD003,Matched,Mondrian CP (online),middle,0.8368837922979688,0.8368837922979688,0.0,0,2015
FD003,Matched,Mondrian CP (online),late,0.7900402139653898,0.7900402139653898,0.0,0,10294
FD003,Matched,Mondrian CP (split),early,0.9390730731831111,0.9390730731831111,0.0,0,1947
FD003,Matched,Mondrian CP (split),middle,0.8967661203530768,0.8967661203530768,0.0,0,2015
FD003,Matched,Mondrian CP (split),late,0.8452011802635477,0.8452011802635477,0.0,0,10294
FD004,Fixed-fraction,Mondrian CP (online),early,0.8351784907586964,0.8351784907586964,0.0,0,11189
FD004,Fixed-fraction,Mondrian CP (online),middle,0.7153855107378042,0.7153855107378042,0.0,0,11591
FD004,Fixed-fraction,Mondrian CP (online),late,0.8779429648349403,0.8779296716764857,0.0001762114537444934,2,11350
FD004,Fixed-fraction,Mondrian CP (split),early,0.8651703617003736,0.8651703617003736,0.0,0,11189
FD004,Fixed-fraction,Mondrian CP (split),middle,0.7953808893208665,0.7953808893208665,0.0,0,11591
FD004,Fixed-fraction,Mondrian CP (split),late,0.8888712299827226,0.8888712299827226,0.0,0,11350
FD004,CUSUM,Mondrian CP (online),early,0.8249448891301636,0.8249448891301636,0.0,0,4699
FD004,CUSUM,Mondrian CP (online),middle,0.8119454640080785,0.8119454640080785,0.0,0,4782
FD004,CUSUM,Mondrian CP (online),late,0.7840369824191974,0.7840369824191974,8.113919428780072e-05,2,24649
FD004,CUSUM,Mondrian CP (split),early,0.8546619550544365,0.8546619550544365,0.0,0,4699
FD004,CUSUM,Mondrian CP (split),middle,0.8412391288179635,0.8412391288179635,0.0,0,4782
FD004,CUSUM,Mondrian CP (split),late,0.8534473022647797,0.8534473022647797,0.0,0,24649
FD004,TrainPct,Mondrian CP (online),early,0.8003701772223348,0.8003701772223348,0.0,0,25908
FD004,TrainPct,Mondrian CP (online),middle,0.8921705576974135,0.8921271272100799,0.00041562759767248546,2,4812
FD004,TrainPct,Mondrian CP (online),late,0.9482641765237353,0.9482641765237353,0.0,0,3410
FD004,TrainPct,Mondrian CP (split),early,0.8515119379468734,0.8515119379468734,0.0,0,25908
FD004,TrainPct,Mondrian CP (split),middle,0.920649261572593,0.920649261572593,0.0,0,4812
FD004,TrainPct,Mondrian CP (split),late,0.9621957276392592,0.9621957276392592,0.0,0,3410
FD004,Matched,Mondrian CP (online),early,0.8295324273099356,0.8295324273099356,0.0,0,4618
FD004,Matched,Mondrian CP (online),middle,0.8512808912594251,0.8512808912594251,0.0,0,4791
FD004,Matched,Mondrian CP (online),late,0.7968033797890504,0.7967990481058821,8.090287609724525e-05,2,24721
FD004,Matched,Mondrian CP (split),early,0.8490570242509922,0.8490570242509922,0.0,0,4618
FD004,Matched,Mondrian CP (split),middle,0.8711998813600784,0.8711998813600784,0.0,0,4791
FD004,Matched,Mondrian CP (split),late,0.8454396443590898,0.8454396443590898,0.0,0,24721
