fd,convention,method,stage,ecr_finite_only,unbounded_rate,n_inf,n_total
FD002,TrainPct,Mondrian CP (online),late,0.8768958077343886,0.0,0,2586
FD002,TrainPct,Mondrian CP (split),early,0.8612507107963783,0.0,0,23974
FD002,TrainPct,Mondrian CP (split),middle,0.9460686228640983,0.0,0,2783
FD002,TrainPct,Mondrian CP (split),late,0.9522576654073882,0.0,0,2586
FD002,Matched,MC-Dropout,early,0.9587745667974005,0.0,0,4795
FD002,Matched,MC-Dropout,middle,0.8744492152440909,0.0,0,4966
FD002,Matched,MC-Dropout,late,0.8639737800861725,0.0,0,19582
FD002,Matched,Split CP,early,0.9495948075592413,0.0,0,4795
FD002,Matched,Split CP,middle,0.8567208956118902,0.0,0,4966
FD002,Matched,Split CP,late,0.8395460799687384,0.0,0,19582
FD002,Matched,Mondrian CP (online),early,0.7961520743878217,0.00020855057351407716,1,4795
FD002,Matched,Mondrian CP (online),middle,0.7998092668148206,0.0012082158679017317,6,4966
FD002,Matched,Mondrian CP (online),late,0.8135500276960789,0.0022469614952507406,44,19582
FD002,Matched,Mondrian CP (split),early,0.8594476890051139,0.0,0,4795
FD002,Matched,Mondrian CP (split),middle,0.8417708040366413,0.0,0,4966
FD002,Matched,Mondrian CP (split),late,0.866522418005836,0.0,0,19582
FD003,Fixed-fraction,MC-Dropout,early,0.9617194170627668,0.0,0,4671
FD003,Fixed-fraction,MC-Dropout,middle,0.7585577808127182,0.0,0,4849
FD003,Fixed-fraction,MC-Dropout,late,0.926205412057145,0.0,0,4736
FD003,Fixed-fraction,Split CP,early,0.9498193681543688,0.0,0,4671
FD003,Fixed-fraction,Split CP,middle,0.7284960900094063,0.0,0,4849
FD003,Fixed-fraction,Split CP,late,0.9027541095217944,0.0,0,4736
FD003,Fixed-fraction,Mondrian CP (online),early,0.830232885118416,0.0,0,4671
FD003,Fixed-fraction,Mondrian CP (online),middle,0.669607780916983,0.0,0,4849
FD003,Fixed-fraction,Mondrian CP (online),late,0.90739264954669,0.0,0,4736
FD003,Fixed-fraction,Mondrian CP (split),early,0.9171494487309279,0.0,0,4671
FD003,Fixed-fraction,Mondrian CP (split),middle,0.7580813988900237,0.0,0,4849
FD003,Fixed-fraction,Mondrian CP (split),late,0.9240634563406595,0.0,0,4736
FD003,CUSUM,MC-Dropout,early,0.9939229731132566,0.0,0,1982
