fd,method,early,middle,late,worst_stage
FD001,MC-Dropout,0.8915562149664323,0.966952834399643,0.9740231135310772,early
FD001,Split CP,0.8849024110080062,0.9578445047859941,0.977967813121226,early
FD001,Mondrian CP (online),0.7833053342498919,0.9665719524762079,0.9749011040282513,early
FD001,Mondrian CP (frozen),0.7658419795472775,0.9363908831718809,0.9386598457795032,early
FD002,MC-Dropout,0.8820654649772219,0.9502317233759707,0.946934928091982,early
FD002,Split CP,0.8629831930837788,0.9393015678579194,0.9340254060975592,early
FD002,Mondrian CP (online),0.806315679483371,0.9341892526755129,0.8851254253390061,early
FD002,Mondrian CP (frozen),0.7237267869714532,0.8429018095726833,0.8623578747345471,early
FD003,MC-Dropout,0.8879844139012606,0.9352631805773309,0.934636425017791,early
FD003,Split CP,0.8704218936805708,0.9068849231763365,0.9134224053049084,early
FD003,Mondrian CP (online),0.7967927499383162,0.9153894849763291,0.9562824775574991,early
FD003,Mondrian CP (frozen),0.8375769234234889,0.8974902879127974,0.9065995281136342,early
FD004,MC-Dropout,0.9031835455972658,0.9241966395741389,0.9613173228769197,early
FD004,Split CP,0.8765321923031575,0.9075916779931955,0.9518416386523195,early
FD004,Mondrian CP (online),0.804136022994577,0.8884250219898829,0.949335033476945,early
FD004,Mondrian CP (frozen),0.7942813285596217,0.8963030021798642,0.8963161776495109,early
