fd,method,full_early,full_middle,full_late,full_worst,n_cohort_instances,cohort_early,cohort_middle,cohort_late,cohort_worst
FD001,MC-Dropout,0.8921738525241121,0.966952834399643,0.974985114493078,early,27,0.9546221636998936,0.943954933954934,0.974985114493078,middle
FD001,Split CP,0.8844859726221738,0.957844504785994,0.977967813121226,early,27,0.947379419021438,0.9266182120348788,0.977967813121226,middle
FD001,Mondrian CP (online),0.7878360975181145,0.9671405407043706,0.9749011040282513,early,27,0.8375987041564207,0.9444837021688874,0.9749011040282513,early
FD001,Mondrian CP (split),0.8797955281115856,0.964094504785994,0.9810344903747272,early,27,0.938634899144553,0.9374978416645084,0.9810344903747272,middle
FD002,MC-Dropout,0.8832289604183515,0.9504796777523654,0.9475838495289473,early,56,0.9487877306109028,0.9133235337872436,0.9475838495289473,middle
FD002,Split CP,0.8625525617832591,0.9393015678579194,0.9343755461535816,early,56,0.9412263713639328,0.90148677623476,0.9343755461535816,middle
FD002,Mondrian CP (online),0.8000443864922907,0.9241983795681592,0.8768958077343886,early,56,0.8603894974826257,0.9085067390258924,0.8768958077343886,early
FD002,Mondrian CP (split),0.8606587857973385,0.9458206684877036,0.9522576654073882,early,56,0.9419734768804776,0.92269202526259,0.9522576654073882,middle
FD003,MC-Dropout,0.8885004322419373,0.9361538608910316,0.935480142567116,early,22,0.969226520221589,0.9066919767285888,0.935480142567116,middle
FD003,Split CP,0.8700138197210823,0.9068849231763364,0.9137591056416086,early,22,0.9542185812280488,0.8628522292120651,0.9137591056416086,middle
FD003,Mondrian CP (online),0.7939406850625983,0.9082072827259632,0.9558733002154416,early,22,0.8863193896305709,0.8234306478197994,0.9558733002154416,middle
FD003,Mondrian CP (split),0.8706817865424399,0.9359255007867332,0.925359791711585,early,22,0.9543924151175932,0.9002089577656932,0.925359791711585,middle
FD004,MC-Dropout,0.9040977141929768,0.924490235537498,0.9616236187322584,early,45,0.970851699669584,0.8554589131622828,0.9616236187322584,middle
FD004,Split CP,0.8766804779405557,0.9080577554719034,0.9518416386523196,early,45,0.9618877602344416,0.824169573759724,0.9518416386523196,middle
FD004,Mondrian CP (online),0.8003701772223348,0.8921271272100799,0.9482641765237352,early,45,0.8697922626983454,0.835734880661894,0.9482641765237352,middle
FD004,Mondrian CP (split),0.8505107868592127,0.920649261572593,0.9619918540408902,early,45,0.9476102597004048,0.8514246426469115,0.9619918540408902,middle
