fd,n_units,n_no_knee,n_cusum_not_triggered,knee_mean,knee_median,cp_mean,cp_median,one_minus_median_cp
FD001,65,9,4,0.3076050530375144,0.3152173913043478,0.2994405261505267,0.2279792746113989,0.7720207253886011
FD002,165,22,14,0.2914772199676165,0.2840909090909091,0.35458410707859744,0.2784810126582278,0.7215189873417722
FD003,65,4,4,0.38051109196122523,0.3762376237623762,0.2972865851060645,0.2386363636363636,0.7613636363636365
FD004,160,7,8,0.36082691843389636,0.3604060913705584,0.30853628440437025,0.2336158192090395,0.7663841807909605
