fd,method,h_mult,k_mult,early,middle,late,worst_stage,late_is_worst
FD001,MC-Dropout,5.0,0.7,0.9543414420337497,0.9156025954102879,0.8844828133852206,late,True
FD001,MC-Dropout,7.0,0.7,0.9669290253905639,0.9225290425177303,0.8774732568274094,late,True
FD001,MC-Dropout,10.0,0.7,0.9616935065135248,0.9310043805967302,0.8727006566780549,late,True
FD001,Split CP,5.0,0.7,0.9467762436993207,0.9136239472777935,0.8720165393993121,late,True
FD001,Split CP,7.0,0.7,0.9578704486396794,0.926348092162572,0.8640694615610603,late,True
FD001,Split CP,10.0,0.7,0.9525412457948783,0.9292700221108403,0.8611170501117607,late,True
FD001,Mondrian CP (online),5.0,0.7,0.8248323833538516,0.7878698662896706,0.8012063689721189,middle,False
FD001,Mondrian CP (online),7.0,0.7,0.8502661688498349,0.793601398932896,0.7967171578557176,middle,False
FD001,Mondrian CP (online),10.0,0.7,0.8343175009653355,0.7934083268445264,0.7973842296599145,middle,False
FD001,Mondrian CP (split),5.0,0.7,0.8808822516514824,0.8926460229062039,0.8805219827103112,late,True
FD001,Mondrian CP (split),7.0,0.7,0.9320733079556609,0.8829869558773916,0.8748857772826354,late,True
FD001,Mondrian CP (split),10.0,0.7,0.924827793472513,0.8882815035293736,0.8728070085010156,late,True
FD002,MC-Dropout,5.0,0.7,0.9680814591757928,0.9182472037579493,0.857216892920448,late,True
FD002,MC-Dropout,7.0,0.7,0.9719171033188332,0.9211478075606181,0.8498447994146903,late,True
FD002,MC-Dropout,10.0,0.7,0.9697952350865396,0.9235494807044767,0.8467016015653099,late,True
FD002,Split CP,5.0,0.7,0.9623210579249727,0.9053745641210409,0.8292238529913755,late,True
FD002,Split CP,7.0,0.7,0.9679785920308649,0.9115881900299648,0.8209316784246787,late,True
FD002,Split CP,10.0,0.7,0.9635332096663329,0.9129823428102032,0.818147478851794,late,True
FD002,Mondrian CP (online),5.0,0.7,0.8225424760837965,0.7897329215300198,0.7981107760490378,middle,False
FD002,Mondrian CP (online),7.0,0.7,0.8304499258272396,0.807485730937228,0.7935673492322699,late,True
FD002,Mondrian CP (online),10.0,0.7,0.831987503544554,0.8262461852966302,0.795125130406288,late,True
FD002,Mondrian CP (split),5.0,0.7,0.8851739279780707,0.8400992218577709,0.8577801949778359,middle,False
FD002,Mondrian CP (split),7.0,0.7,0.8932150758577599,0.844267715368126,0.8647714197696617,middle,False
FD002,Mondrian CP (split),10.0,0.7,0.8862471801162076,0.8485487498273883,0.8719083481156655,middle,False
FD003,MC-Dropout,5.0,0.7,0.9936752136752137,0.9755489247594511,0.8482762036447709,late,True
FD003,MC-Dropout,7.0,0.7,0.9939229731132566,0.9799522002963299,0.8341907913966418,late,True
FD003,MC-Dropout,10.0,0.7,0.9927731755424064,0.9725965060580445,0.8275796340155278,late,True
FD003,Split CP,5.0,0.7,0.98859160163508,0.9641939563106612,0.8229741081993641,late,True
FD003,Split CP,7.0,0.7,0.9872563064465899,0.96900376218278,0.810227359541708,late,True
FD003,Split CP,10.0,0.7,0.9838551017462838,0.9601690871763923,0.8032658134001833,late,True
FD003,Mondrian CP (online),5.0,0.7,0.8371339616343493,0.7534685090348122,0.7952561327509905,middle,False
FD003,Mondrian CP (online),7.0,0.7,0.864013620021001,0.7640610416426119,0.7846845015260282,middle,False
FD003,Mondrian CP (online),10.0,0.7,0.8600541411665472,0.7989691791116786,0.7746159023714445,late,True
FD003,Mondrian CP (split),5.0,0.7,0.9337010344673142,0.8843953796013293,0.8493485015461018,late,True
FD003,Mondrian CP (split),7.0,0.7,0.9500803859078477,0.8861342001510398,0.8486835820944693,late,True
FD003,Mondrian CP (split),10.0,0.7,0.9451935887866076,0.8930911431584544,0.8452012581528181,late,True
FD004,MC-Dropout,5.0,0.7,0.9966629872563313,0.9747452242441467,0.866786079925357,late,True
FD004,MC-Dropout,7.0,0.7,0.9915144320806023,0.9767576856544862,0.8586271330981464,late,True
FD004,MC-Dropout,10.0,0.7,0.9897495058992124,0.9803370514951075,0.8494143184341727,late,True
FD004,Split CP,5.0,0.7,0.9926859468525955,0.9647314861862277,0.8288286218867369,late,True
FD004,Split CP,7.0,0.7,0.9864470292142216,0.9687632873022061,0.8176551399510243,late,True
FD004,Split CP,10.0,0.7,0.9840357635058204,0.9720633097646264,0.805881908212191,late,True
FD004,Mondrian CP (online),5.0,0.7,0.8249115226474307,0.7918324870969273,0.7942518951027664,middle,False
FD004,Mondrian CP (online),7.0,0.7,0.8249448891301636,0.8119454640080785,0.7840369824191974,late,True
FD004,Mondrian CP (online),10.0,0.7,0.8542911372743237,0.8529521608714848,0.7737527344496539,late,True
FD004,Mondrian CP (split),5.0,0.7,0.8586352241235616,0.8286344256277607,0.8538571689518228,middle,False
FD004,Mondrian CP (split),7.0,0.7,0.8517733385035943,0.8392425049386553,0.8533445180386007,middle,False
FD004,Mondrian CP (split),10.0,0.7,0.8613073636968614,0.8732664901173699,0.8578306549369742,late,True
