fd,metric,n,mean,median,q1,q3
FD001,t_knee/T,45,0.2982686644588598,0.3114754098360656,0.23170731707317074,0.36683417085427134
FD001,t_cp/T,50,0.23524072812000527,0.1629236423029808,0.11405437824870052,0.2653301886792453
FD002,t_knee/T,108,0.29727984608288804,0.27583815028901737,0.18181818181818182,0.39712918660287083
FD002,t_cp/T,130,0.350457390474137,0.24440242436385495,0.11373604465709729,0.5986394557823129
FD003,t_knee/T,46,0.3772839469543704,0.36513859275053306,0.23751369112814896,0.49038018433179725
FD003,t_cp/T,50,0.2338847511451965,0.16869918699186992,0.1002594514455152,0.3404748498498499
FD004,t_knee/T,117,0.35665608823304534,0.35384615384615387,0.19745222929936307,0.5058823529411764
FD004,t_cp/T,125,0.2594487830813446,0.1736111111111111,0.09523809523809523,0.3673469387755102
