method,stage,mean,max,n_over,n_total
MC-Dropout,early,0.010923553610216208,0.0886789278905461,2,20
MC-Dropout,middle,0.005700077714152413,0.02213810871847066,1,20
MC-Dropout,late,0.018179764709230183,0.17523754251906298,1,20
Split CP,early,0.011566926414181078,0.08731121898597627,2,20
Split CP,middle,0.0087446173844132,0.04117647058823526,3,20
Split CP,late,0.023140449418607274,0.24927407264109885,4,20
Mondrian CP,early,0.009686304031562459,0.03173140897691795,2,20
Mondrian CP,middle,0.030087034983503808,0.1293103448275862,9,20
Mondrian CP,late,0.01201979736286365,0.046899654881550235,4,20
