fd,n_units,n_no_knee,n_cusum_not_triggered,knee_mean,knee_median,cp_mean,cp_median,one_minus_median_cp
FD001,65,9,2,0.3076050530375144,0.3152173913043478,0.19724913763016064,0.1533742331288343,0.8466257668711656
FD002,165,22,8,0.2914772199676165,0.2840909090909091,0.23631392269384155,0.1534090909090909,0.8465909090909091
FD003,65,4,1,0.38051109196122523,0.3762376237623762,0.1981994310849402,0.1595092024539877,0.8404907975460123
FD004,160,7,3,0.36082691843389636,0.3604060913705584,0.2114873420750151,0.13796665458499455,0.8620333454150054
