fd,method,h_mult,k_mult,early,middle,late,worst_stage,late_is_worst
FD001,MC-Dropout,5.0,0.7,0.9746069315300084,0.9628749882596036,0.881570080550572,late,True
FD001,MC-Dropout,7.0,0.7,0.9742406311637082,0.9597552447552449,0.8804479525117036,late,True
FD001,MC-Dropout,10.0,0.7,0.9701157647384062,0.9666588696953069,0.883026305977908,late,True
FD001,Split CP,5.0,0.7,0.9614201183431952,0.9733333333333333,0.8749596676232896,late,True
FD001,Split CP,7.0,0.7,0.9614201183431952,0.9685652381806228,0.8735032135275319,late,True
FD001,Split CP,10.0,0.7,0.9614679659962678,0.9646062364685847,0.8726551556386204,late,True
FD001,Mondrian CP (online),5.0,0.7,0.8595004958839214,0.819329254821827,0.8023238449763138,late,True
FD001,Mondrian CP (online),7.0,0.7,0.8507196385684122,0.8114850617791795,0.7994830073007695,late,True
FD001,Mondrian CP (online),10.0,0.7,0.8626374007000183,0.8323755106131682,0.8044858877447866,late,True
FD001,Mondrian CP (frozen),5.0,0.7,0.7123061765032757,0.8451148607443484,0.7889768068227451,early,False
FD001,Mondrian CP (frozen),7.0,0.7,0.7109064291157153,0.8372288737068798,0.7874852920399369,early,False
FD001,Mondrian CP (frozen),10.0,0.7,0.6907881138904678,0.8350670009153255,0.7923442920520624,early,False
FD002,MC-Dropout,5.0,0.7,0.9805176940581808,0.9770993552703507,0.8694128112694098,late,True
FD002,MC-Dropout,7.0,0.7,0.9808311058208677,0.9727666748913555,0.8685501467648343,late,True
FD002,MC-Dropout,10.0,0.7,0.9807994088723352,0.9686857630565324,0.8666793388497724,late,True
FD002,Split CP,5.0,0.7,0.9772719449815986,0.9738722424761386,0.8472260979713362,late,True
FD002,Split CP,7.0,0.7,0.9775270173381202,0.9685925756752519,0.846640444098868,late,True
FD002,Split CP,10.0,0.7,0.9777679359867467,0.9621478248422443,0.8446023297955021,late,True
FD002,Mondrian CP (online),5.0,0.7,0.8575513997190398,0.8331670559945905,0.8098005363323844,late,True
FD002,Mondrian CP (online),7.0,0.7,0.8507677647872004,0.8350058695127223,0.8079881111778228,late,True
FD002,Mondrian CP (online),10.0,0.7,0.8494802444670645,0.8373272078282425,0.8088117565669796,late,True
FD002,Mondrian CP (frozen),5.0,0.7,0.8620706959568534,0.8533811544312649,0.7164653910727516,late,True
FD002,Mondrian CP (frozen),7.0,0.7,0.8588807536642341,0.8162353811769557,0.7153688344939282,late,True
FD002,Mondrian CP (frozen),10.0,0.7,0.7922967220325676,0.8410016986103283,0.7143108549441695,late,True
FD003,MC-Dropout,5.0,0.7,0.9948717948717948,0.995940170940171,0.854508236743558,late,True
FD003,MC-Dropout,7.0,0.7,0.9948717948717948,0.9901655011655012,0.8532916798828794,late,True
FD003,MC-Dropout,10.0,0.7,0.9953846153846154,0.9843076923076923,0.8519863537545054,late,True
FD003,Split CP,5.0,0.7,0.9888888888888888,0.9912393162393163,0.8317498624464684,late,True
FD003,Split CP,7.0,0.7,0.9888888888888888,0.9872051282051283,0.8302634800007554,late,True
FD003,Split CP,10.0,0.7,0.9897435897435897,0.9798834498834498,0.8292672262234586,late,True
FD003,Mondrian CP (online),5.0,0.7,0.8160183137232536,0.7442202953861138,0.8031988562294398,middle,False
FD003,Mondrian CP (online),7.0,0.7,0.8166311642366425,0.750362285263406,0.8015210130955045,middle,False
FD003,Mondrian CP (online),10.0,0.7,0.8180523006209793,0.7698868740207997,0.7985883489695675,middle,False
FD003,Mondrian CP (frozen),5.0,0.7,0.8101923562648465,0.9321378294907707,0.8233771112258802,early,False
FD003,Mondrian CP (frozen),7.0,0.7,0.8164508155472977,0.925574799927741,0.8219960968813675,early,False
FD003,Mondrian CP (frozen),10.0,0.7,0.8052537859519228,0.9008862520084238,0.8212434760187013,early,False
FD004,MC-Dropout,5.0,0.7,0.9979161384381339,0.9965502274904214,0.8727141566567941,late,True
FD004,MC-Dropout,7.0,0.7,0.9979161384381339,0.9955260812842589,0.870093917314238,late,True
FD004,MC-Dropout,10.0,0.7,0.997698825219743,0.992524935616754,0.8682137853337641,late,True
FD004,Split CP,5.0,0.7,0.9945569495283475,0.9951846800903782,0.8388460723706537,late,True
FD004,Split CP,7.0,0.7,0.9945613171034697,0.9931397005508824,0.8355061284082946,late,True
FD004,Split CP,10.0,0.7,0.9944032511711581,0.9892966057675221,0.8331058289050063,late,True
FD004,Mondrian CP (online),5.0,0.7,0.8488013940975339,0.818884081996243,0.8008579355467852,late,True
FD004,Mondrian CP (online),7.0,0.7,0.8504010392104508,0.8033936960291367,0.7979411096683051,late,True
FD004,Mondrian CP (online),10.0,0.7,0.8527159966994242,0.8168764848338623,0.795435490722052,late,True
FD004,Mondrian CP (frozen),5.0,0.7,0.8350208383543526,0.8484937409322985,0.7820234152298358,late,True
FD004,Mondrian CP (frozen),7.0,0.7,0.8369010603207829,0.8857601150901846,0.7790444348374498,late,True
FD004,Mondrian CP (frozen),10.0,0.7,0.8398246817054055,0.8942704231943139,0.7701098874298165,late,True
