fd,seed,unit,n_unit,t_knee_idx,t_knee_norm,t_cp_idx,t_cp_norm,cusum_triggered
FD001,0,13,134,8.0,0.05970149253731343,27,0.20149253731343283,True
FD001,0,89,188,62.0,0.32978723404255317,40,0.2127659574468085,True
FD001,0,71,179,53.0,0.29608938547486036,54,0.3016759776536313,True
FD001,0,88,184,58.0,0.31521739130434784,80,0.43478260869565216,True
FD001,0,37,141,15.0,0.10638297872340426,51,0.3617021276595745,True
FD001,0,22,173,47.0,0.27167630057803466,32,0.18497109826589594,True
FD001,0,84,238,112.0,0.47058823529411764,49,0.20588235294117646,True
FD001,0,10,193,67.0,0.3471502590673575,39,0.20207253886010362,True
FD001,0,97,173,47.0,0.27167630057803466,43,0.24855491329479767,True
FD001,0,68,170,44.0,0.25882352941176473,35,0.20588235294117646,True
FD001,0,65,124,,,26,0.20967741935483872,True
FD001,0,48,202,76.0,0.37623762376237624,50,0.24752475247524752,True
FD001,0,45,129,3.0,0.023255813953488372,38,0.29457364341085274,True
FD001,1,7,230,104.0,0.45217391304347826,30,0.13043478260869565,True
FD001,1,72,184,58.0,0.31521739130434784,34,0.18478260869565216,True
FD001,1,77,125,,,28,0.224,True
FD001,1,2,258,132.0,0.5116279069767442,80,0.31007751937984496,True
FD001,1,17,247,121.0,0.4898785425101215,82,0.3319838056680162,True
FD001,1,65,124,,,26,0.20967741935483872,True
FD001,1,80,156,30.0,0.19230769230769232,31,0.1987179487179487,True
FD001,1,6,159,33.0,0.20754716981132076,64,0.4025157232704403,True
FD001,1,76,181,55.0,0.30386740331491713,181,1.0,False
FD001,1,10,193,67.0,0.3471502590673575,44,0.22797927461139897,True
FD001,1,73,184,58.0,0.31521739130434784,33,0.1793478260869565,True
FD001,1,13,134,8.0,0.05970149253731343,27,0.20149253731343283,True
FD001,1,38,165,39.0,0.23636363636363636,52,0.3151515151515151,True
FD001,2,48,202,76.0,0.37623762376237624,51,0.2524752475247525,True
FD001,2,86,249,123.0,0.4939759036144578,88,0.3534136546184739,True
FD001,2,94,229,103.0,0.4497816593886463,40,0.17467248908296942,True
FD001,2,50,169,43.0,0.25443786982248523,35,0.20710059171597633,True
FD001,2,35,152,26.0,0.17105263157894737,57,0.375,True
FD001,2,8,121,,,28,0.23140495867768596,True
FD001,2,76,181,55.0,0.30386740331491713,181,1.0,False
FD001,2,83,264,138.0,0.5227272727272727,70,0.26515151515151514,True
