fd,seed,stage,ecr,mpiw,n,pval,split_hash,git_commit,q_hat
FD002,0,late,0.9724770642201835,35.92075,109,0.999117309769737,69d2eb25b91b5749,f4a54813fac5004c638a91b381735e9a060f1794,1.6666305
FD002,1,global,0.9073359073359073,43.684097,259,0.6829184779761841,efa24cba96d3dd1c,f4a54813fac5004c638a91b381735e9a060f1794,1.4901288
FD002,1,middle,0.88,53.39718,150,0.2419415432225367,efa24cba96d3dd1c,f4a54813fac5004c638a91b381735e9a060f1794,1.4901288
FD002,1,late,0.944954128440367,30.317476,109,0.9670687978886437,efa24cba96d3dd1c,f4a54813fac5004c638a91b381735e9a060f1794,1.4901288
FD002,2,global,0.9227799227799228,49.27792,259,0.9116086744825462,0417bb7b6abd6650,f4a54813fac5004c638a91b381735e9a060f1794,1.5265164
FD002,2,middle,0.9066666666666666,59.077774,150,0.646962181855419,0417bb7b6abd6650,f4a54813fac5004c638a91b381735e9a060f1794,1.5265164
FD002,2,late,0.944954128440367,35.79188,109,0.9670687978886437,0417bb7b6abd6650,f4a54813fac5004c638a91b381735e9a060f1794,1.5265164
FD002,3,global,0.918918918918919,47.551495,259,0.8702158263746552,f6b3660dd4581b83,f4a54813fac5004c638a91b381735e9a060f1794,1.5446236
FD002,3,middle,0.8933333333333333,58.880222,150,0.4318156420262564,f6b3660dd4581b83,f4a54813fac5004c638a91b381735e9a060f1794,1.5446236
FD002,3,late,0.9541284403669725,31.9615,109,0.987428383347352,f6b3660dd4581b83,f4a54813fac5004c638a91b381735e9a060f1794,1.5446236
FD002,4,global,0.806949806949807,127.24772,259,4.75105923599811e-06,ab4363981520a07e,f4a54813fac5004c638a91b381735e9a060f1794,1.5260758
FD002,4,middle,1.0,127.306625,150,1.0,ab4363981520a07e,f4a54813fac5004c638a91b381735e9a060f1794,1.5260758
FD002,4,late,0.5412844036697247,127.16664,109,7.837081131969951e-22,ab4363981520a07e,f4a54813fac5004c638a91b381735e9a060f1794,1.5260758
FD003,0,global,0.83,34.299435,100,0.020598810145300142,e7611c39ecc59ce6,f4a54813fac5004c638a91b381735e9a060f1794,1.3011993
FD003,0,middle,0.717391304347826,36.390198,46,0.0004215830625051122,e7611c39ecc59ce6,f4a54813fac5004c638a91b381735e9a060f1794,1.3011993
FD003,0,late,0.9259259259259259,32.51843,54,0.8015415165816413,e7611c39ecc59ce6,f4a54813fac5004c638a91b381735e9a060f1794,1.3011993
FD003,1,global,0.84,32.756527,100,0.03989052711108335,fb977ece5f99d20c,f4a54813fac5004c638a91b381735e9a060f1794,1.3925546
FD003,1,middle,0.782608695652174,36.74954,46,0.014026568391315317,fb977ece5f99d20c,f4a54813fac5004c638a91b381735e9a060f1794,1.3925546
FD003,1,late,0.8888888888888888,29.35509,54,0.45745435326260087,fb977ece5f99d20c,f4a54813fac5004c638a91b381735e9a060f1794,1.3925546
FD003,2,global,0.85,33.783592,100,0.07257296526488066,bb7a789caa43ff59,f4a54813fac5004c638a91b381735e9a060f1794,1.5199566
FD003,2,middle,0.782608695652174,37.613712,46,0.014026568391315317,bb7a789caa43ff59,f4a54813fac5004c638a91b381735e9a060f1794,1.5199566
FD003,2,late,0.9074074074074074,30.520887,54,0.638552860272622,bb7a789caa43ff59,f4a54813fac5004c638a91b381735e9a060f1794,1.5199566
FD003,3,global,0.9,44.67536,100,0.5487098345579959,06430c1811fbc941,f4a54813fac5004c638a91b381735e9a060f1794,1.7831414
FD003,3,middle,0.8478260869565217,47.866234,46,0.17188418299957384,06430c1811fbc941,f4a54813fac5004c638a91b381735e9a060f1794,1.7831414
FD003,3,late,0.9444444444444444,41.95721,54,0.9165923327997727,06430c1811fbc941,f4a54813fac5004c638a91b381735e9a060f1794,1.7831414
FD003,4,global,0.86,34.05664,100,0.12387679259932995,faa043d88cde17c1,f4a54813fac5004c638a91b381735e9a060f1794,1.5818455
FD003,4,middle,0.8043478260869565,37.89436,46,0.036364483491996946,faa043d88cde17c1,f4a54813fac5004c638a91b381735e9a060f1794,1.5818455
FD003,4,late,0.9074074074074074,30.78748,54,0.638552860272622,faa043d88cde17c1,f4a54813fac5004c638a91b381735e9a060f1794,1.5818455
FD004,0,global,0.875,52.16902,248,0.11582205321477726,557a046a05dbaa0f,f4a54813fac5004c638a91b381735e9a060f1794,1.4189358
FD004,0,middle,0.8731343283582089,52.2549,134,0.1835950981461127,557a046a05dbaa0f,f4a54813fac5004c638a91b381735e9a060f1794,1.4189358
FD004,0,late,0.8771929824561403,52.06807,114,0.24840824517195112,557a046a05dbaa0f,f4a54813fac5004c638a91b381735e9a060f1794,1.4189358
FD004,1,global,0.8629032258064516,50.56776,248,0.03717082811849931,d131c0bcffcf00f8,f4a54813fac5004c638a91b381735e9a060f1794,1.4070472
FD004,1,middle,0.8283582089552238,52.117893,134,0.007182911040451439,d131c0bcffcf00f8,f4a54813fac5004c638a91b381735e9a060f1794,1.4070472
FD004,1,late,0.9035087719298246,48.74567,114,0.5954238003006642,d131c0bcffcf00f8,f4a54813fac5004c638a91b381735e9a060f1794,1.4070472
FD004,2,global,0.8346774193548387,48.626923,248,0.0009653137859752628,d78a439f5153bfdb,f4a54813fac5004c638a91b381735e9a060f1794,1.3517514
FD004,2,middle,0.8059701492537313,48.951862,134,0.0007493206905258607,d78a439f5153bfdb,f4a54813fac5004c638a91b381735e9a060f1794,1.3517514
FD004,2,late,0.868421052631579,48.244976,114,0.16536948078013056,d78a439f5153bfdb,f4a54813fac5004c638a91b381735e9a060f1794,1.3517514
FD004,3,global,0.842741935483871,52.03714,248,0.0031480079191327074,b745763173099593,f4a54813fac5004c638a91b381735e9a060f1794,1.3720624
FD004,3,middle,0.8059701492537313,53.381706,134,0.0007493206905258607,b745763173099593,f4a54813fac5004c638a91b381735e9a060f1794,1.3720624
FD004,3,late,0.8859649122807017,50.456684,114,0.3520011591657071,b745763173099593,f4a54813fac5004c638a91b381735e9a060f1794,1.3720624
FD004,4,global,0.875,65.82287,248,0.11582205321477726,dcc1d8b408e186da,f4a54813fac5004c638a91b381735e9a060f1794,1.4707526
FD004,4,middle,0.8955223880597015,65.25529,134,0.4731078326000141,dcc1d8b408e186da,f4a54813fac5004c638a91b381735e9a060f1794,1.4707526
FD004,4,late,0.8508771929824561,66.49002,114,0.061571025290354936,dcc1d8b408e186da,f4a54813fac5004c638a91b381735e9a060f1794,1.4707526
